,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Chapeco,BR,-27.0964,-52.6183,82.15,42,40,0.0,scattered clouds
314,Airai,TL,-8.9266,125.4092,62.44,92,100,1.39,overcast clouds
315,Compiegne,FR,49.4179,2.8261,43.09,94,100,1.01,overcast clouds
316,Porbandar,IN,21.6422,69.6093,73.18,53,0,10.47,clear sky
317,Nizhniy Kuranakh,RU,58.8353,125.4869,1.11,90,100,6.58,overcast clouds
318,Nandyal,IN,15.4833,78.4833,71.69,67,5,3.36,clear sky
319,Petropavlovskoye,RU,52.0712,84.107,22.28,85,100,4.12,overcast clouds
320,Naze,JP,28.3667,129.4833,63.52,71,71,17.54,broken clouds
321,Hualmay,PE,-11.0964,-77.6139,68.29,82,100,10.6,overcast clouds
322,Senno,RU,59.5336,33.9167,-4.67,94,18,6.22,few clouds
323,Constitucion,CL,-35.3333,-72.4167,66.34,62,6,4.72,clear sky
324,Saint-Francois,FR,46.4154,3.9054,38.64,92,75,11.5,broken clouds
325,Aksu,CN,41.1231,80.2644,29.59,46,100,2.89,overcast clouds
326,Sao Filipe,CV,14.8961,-24.4956,75.42,74,64,13.78,broken clouds
327,Kawalu,ID,-7.3817,108.2082,73.54,92,100,1.97,overcast clouds
328,Carlsbad,US,33.1581,-117.3506,81.09,75,1,4.0,haze
329,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,75,9.22,broken clouds
330,Fairbanks,US,64.8378,-147.7164,4.24,77,1,0.0,clear sky
331,Smidovich,RU,48.6,133.8167,13.91,98,100,1.95,overcast clouds
332,Erenhot,CN,43.6475,111.9767,21.51,77,2,2.98,clear sky
333,Yamada,JP,39.4667,141.95,37.13,75,5,6.51,clear sky
334,Merrill,US,45.1805,-89.6835,30.92,93,90,3.44,light snow
335,Aklavik,CA,68.2191,-135.0107,-10.37,86,3,8.03,clear sky
336,Cabo San Lucas,MX,22.8909,-109.9124,82.06,49,75,1.01,broken clouds
337,Mpanda,TZ,-6.3655,31.0409,66.52,85,92,0.34,overcast clouds
338,Desaguadero,PE,-16.5656,-69.0417,53.04,60,100,11.25,overcast clouds
339,Igrim,RU,63.1906,64.4162,-17.54,99,30,2.59,scattered clouds
340,Hailey,US,43.5196,-114.3153,48.06,27,1,17.27,clear sky
341,Mairipora,BR,-23.3186,-46.5867,71.56,78,90,8.05,overcast clouds
