City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Nanortalik,GL,26.87,light snow,60.1432,-45.2371,Hotel Kap Farvel
219,Chifeng,CN,30.29,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
220,Pangnirtung,CA,8.17,light snow,66.1451,-65.7125,Kilabuk Lodge
221,Iqaluit,CA,10.13,light snow,63.7506,-68.5145,Frobisher Inn
222,Seoul,KR,33.24,clear sky,37.5683,126.9778,Lotte Hotel Seoul
223,Labrea,BR,77.83,heavy intensity rain,-7.2586,-64.7981,Hotel Novo Horizonte
224,Narsaq,GL,26.82,overcast clouds,60.9167,-46.05,Sleep In Narsaq
225,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
226,Isiro,CD,66.54,overcast clouds,2.7739,27.616,Guest House Hewa Bora
227,Vestmanna,FO,36.52,overcast clouds,62.1564,-7.1664,Vestmanna Camping
228,Esperance,AU,62.44,broken clouds,-33.8667,121.9,Hospitality Esperance
229,Nabire,ID,77.43,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
230,Ipixuna,BR,75.15,light rain,-1.7625,-48.8043,Casa da Oscarina
231,Butaritari,KI,80.82,moderate rain,3.0707,172.7902,Isles Sunset Lodge
232,Sao Joao Da Barra,BR,75.54,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
233,Newport,GB,42.85,scattered clouds,51.5877,-2.9984,ibis budget Newport
234,Sivaki,RU,0.68,overcast clouds,52.6333,126.75,
236,Rambha,IN,71.96,overcast clouds,19.5167,85.1,OTDC Panthanivas - Rambha
237,Zelenogorskiy,RU,27.12,overcast clouds,55.0333,87.0,
238,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
239,Svetlogorsk,BY,29.79,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
240,Huarmey,PE,68.7,overcast clouds,-10.0681,-78.1522,Hotel Miramar
241,Vardo,NO,10.15,few clouds,70.3705,31.1107,Vardø Hotel AS
242,Klaksvik,FO,38.32,scattered clouds,62.2266,-6.589,Airbnb rooms
243,Staraya Russa,RU,5.22,overcast clouds,57.9944,31.3608,Hotel Polist
244,Zima,RU,8.04,overcast clouds,53.9202,102.0442,"""Na Uglu"""
245,Mugla,TR,48.87,overcast clouds,37.2303,28.3557,Petek Hotel
246,Mbala,ZM,66.6,broken clouds,-8.8402,31.3659,Lake Chila Lodge
247,Tuatapere,NZ,54.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
248,Luganville,VU,83.82,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
249,Las Palmas,ES,63.39,scattered clouds,28.4204,-14.0131,Casillas De Morales 59.
250,Bida,NG,82.56,broken clouds,9.0833,6.0167,Royal Suite
251,Harsin,IR,50.81,few clouds,34.2721,47.5861,ایزوگام اصل دلیجان و شرق
252,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
253,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
254,Quelimane,MZ,79.16,clear sky,-17.8786,36.8883,Hotel Flamingo
255,Pyaozerskiy,RU,-3.48,broken clouds,65.8333,31.1667,Taratuga
256,Tuktoyaktuk,CA,-18.4,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
257,Verkhnevilyuysk,RU,-27.22,scattered clouds,63.4453,120.3167,Gostinitsa Mila
258,Puerto Del Rosario,ES,65.95,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
259,Banjar,ID,78.66,moderate rain,-8.19,114.9675,The Hamsa Resort
260,Yevpatoriya,UA,44.83,scattered clouds,45.1972,33.3558,Apogey Gotel' Zat
261,Tabou,CI,80.62,few clouds,4.423,-7.3528,hotêl doufoulougou
